"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Nov 18 14:18:34 GMT+12:00 2023","Sat Nov 18 14:18:37 GMT+12:00 2023","2653","tests","test_posts","TestPosts","","","test_create_new_post_positive[get_create_post_data4]",""
"passed","Sat Nov 18 14:20:51 GMT+12:00 2023","Sat Nov 18 14:20:56 GMT+12:00 2023","5483","tests","test_users","TestUsers","","","test_update_user_positive[get_create_user_data0]",""
"passed","Sat Nov 18 14:18:32 GMT+12:00 2023","Sat Nov 18 14:18:34 GMT+12:00 2023","2327","tests","test_posts","TestPosts","","","test_create_new_post_positive[get_create_post_data3]",""
"passed","Sat Nov 18 14:20:15 GMT+12:00 2023","Sat Nov 18 14:20:18 GMT+12:00 2023","2876","tests","test_users","TestUsers","","","test_create_new_user_positive[get_create_user_data2]","
        Validation points:
        - validate_successful_response_201
        - validate_content_type
        - validate_auth_token
        - validate response is a dictionary
        - validate_response_time
        - validate_environment
        - validate_single_object_schema
        - validate_response_body
        - validate gender is either male or female
        - validate status is either active or inactive
        "
"passed","Sat Nov 18 14:21:47 GMT+12:00 2023","Sat Nov 18 14:21:53 GMT+12:00 2023","5557","tests","test_users","TestUsers","","","test_update_user_positive[get_create_user_data9]",""
"passed","Sat Nov 18 14:20:37 GMT+12:00 2023","Sat Nov 18 14:20:39 GMT+12:00 2023","2593","tests","test_users","TestUsers","","","test_create_new_user_positive[get_create_user_data7]","
        Validation points:
        - validate_successful_response_201
        - validate_content_type
        - validate_auth_token
        - validate response is a dictionary
        - validate_response_time
        - validate_environment
        - validate_single_object_schema
        - validate_response_body
        - validate gender is either male or female
        - validate status is either active or inactive
        "
"passed","Sat Nov 18 14:19:27 GMT+12:00 2023","Sat Nov 18 14:19:31 GMT+12:00 2023","4170","tests","test_posts","TestPosts","","","test_update_post_positive[get_create_post_data7]",""
"passed","Sat Nov 18 14:20:50 GMT+12:00 2023","Sat Nov 18 14:20:51 GMT+12:00 2023","523","tests","test_users","TestUsers","","","test_search_user_pagination_positive",""
"passed","Sat Nov 18 14:19:43 GMT+12:00 2023","Sat Nov 18 14:19:43 GMT+12:00 2023","466","tests","test_posts","TestPosts","","","test_get_post_by_id_negative[-123]",""
"passed","Sat Nov 18 14:19:37 GMT+12:00 2023","Sat Nov 18 14:19:39 GMT+12:00 2023","2901","tests","test_posts","TestPosts","","","test_delete_post_positive",""
"passed","Sat Nov 18 14:20:30 GMT+12:00 2023","Sat Nov 18 14:20:37 GMT+12:00 2023","7012","tests","test_users","TestUsers","","","test_create_new_user_positive[get_create_user_data6]","
        Validation points:
        - validate_successful_response_201
        - validate_content_type
        - validate_auth_token
        - validate response is a dictionary
        - validate_response_time
        - validate_environment
        - validate_single_object_schema
        - validate_response_body
        - validate gender is either male or female
        - validate status is either active or inactive
        "
"passed","Sat Nov 18 14:19:22 GMT+12:00 2023","Sat Nov 18 14:19:25 GMT+12:00 2023","3033","tests","test_posts","TestPosts","","","test_update_post_positive[get_create_post_data5]",""
"passed","Sat Nov 18 14:19:34 GMT+12:00 2023","Sat Nov 18 14:19:37 GMT+12:00 2023","2562","tests","test_posts","TestPosts","","","test_update_post_positive[get_create_post_data9]",""
"passed","Sat Nov 18 14:19:43 GMT+12:00 2023","Sat Nov 18 14:19:44 GMT+12:00 2023","433","tests","test_posts","TestPosts","","","test_get_post_by_id_negative[%$#@!]",""
"passed","Sat Nov 18 14:19:44 GMT+12:00 2023","Sat Nov 18 14:19:44 GMT+12:00 2023","356","tests","test_posts","TestPosts","","","test_get_post_by_id_negative[ ]",""
"passed","Sat Nov 18 14:19:39 GMT+12:00 2023","Sat Nov 18 14:19:43 GMT+12:00 2023","3109","tests","test_posts","TestPosts","","","test_create_new_post_negative",""
"passed","Sat Nov 18 14:20:56 GMT+12:00 2023","Sat Nov 18 14:21:02 GMT+12:00 2023","5291","tests","test_users","TestUsers","","","test_update_user_positive[get_create_user_data1]",""
"passed","Sat Nov 18 14:19:06 GMT+12:00 2023","Sat Nov 18 14:19:08 GMT+12:00 2023","2531","tests","test_posts","TestPosts","","","test_update_post_positive[get_create_post_data0]",""
"passed","Sat Nov 18 14:21:02 GMT+12:00 2023","Sat Nov 18 14:21:15 GMT+12:00 2023","13024","tests","test_users","TestUsers","","","test_update_user_positive[get_create_user_data2]",""
"passed","Sat Nov 18 14:18:41 GMT+12:00 2023","Sat Nov 18 14:18:44 GMT+12:00 2023","2214","tests","test_posts","TestPosts","","","test_create_new_post_positive[get_create_post_data7]",""
